"Formatted ID","Name","State","Preliminary Estimate","Release","Tags","Milestones","Custom Field 1","Custom Field 2","Custom Field 3","Custom Field 4","Custom Field 5","Impacted Systems","Risks","PI Start Name","Planned Start Date","PI Finish Name","Planned End Date","Build + SIT Planned Completion Date","Custom Date 2","UAT Planned Completion Date","E3SL Planned Completion Date","Custom Date 1","Target Go Live Date","Priority Order","Virtual Release ID","Description","Acceptance Criteria","Parent"
"F811673","CRR - Incremental variables for Merchant (Consume & Validate) in E1","Backlog","S","AXP PI 26.1","DA Solutioning;GCIP Solution - Aligned","MI42485: GCIP-CRR#20: CRR Integration with DAM - Entity;MI42488: GCIP-CRR#19: CRR Integration with DAM - Individual","E2E SIT","26.1 Committed","BRD 12.8","Sub Journey","ST16_CRR Rule Execution-04","None","0","AXP PI 26.1","01/20/2026 12:00 AM MST","AXP PI 26.1","03/02/2026 11:59 PM MST","10/27/2025 12:00 AM MST","03/02/2026 12:00 AM MST","","","","","145.0","CRR Data Integration with DAM","Description:As a Compliance Analyst/Manager,I would like to develop the logic for CRR data variables to fetch the data from DAM ODL & develop derivation logic for derived variables used in CRR calculation (for all available provided in the mapping sheet). The data variables should be ready to consume in our CRR Calculation engine.  Also, I would like to Validate the Customer Risk Rating data variables for Incremental variables for  Merchant shared by DAM Tech team once they are available from DAM Team for Individual.so that we can consume these variables in CRR to run the rule engine. I would like to understand the derivation of the derived variables as well. Build for HRO/ARF, Party Add Char and Account Add char.  Benefit: Development of derived variables are critical for the CRR calculation and Validating the Quality & reliability of the DAM enabled variables to ensure they are suitable for use in CRR Scoring with reduced data errors This feature includes the following activities:Develop the extraction logic for the raw variables from DAM ODLDevelop the derivation logic for the derived variablesValidate the Data ingestion process for DAM raw variablesValidate the Scoring Model integration (if applicable)Identify additional variables for any derived variable that CRR need, share consolidated requirement for those variables along with their business desc, SOR name, and SOR variable name (already done)Attached Data elements are in scope for validation exercise  Variables to be Covered: Attached in Excel Sheet T shirt Sizing- LIn Scope:Following variables are in scope for validation-PEP Foreign,PEP Present,PEP Risk Score,SIP Present,SIP Risk Score  Out of Scope:                  SIT, UAT and Deploy to Prod - refer to successor F760248 instead Dependency:Build of these variables by DAM Tech Team","Unit testing by CRR tech """"Passed"""" and SIT test cases """"passed"""" in E1 and E2 and documented by Praveen's teamUAT test cases """"passed"""" in E2 and Pre-PROD E3 by Product Owners and documentedExtraction logic should produce the same values in for the variables (pushed by DAM vs received in CRR)The validation where so applicable should be performed e.g count checks making sure we are receiving the exact same records sent by DAM Variables in our CRR ecosystem. ( e.g. While deriving variables could be one of the use case)","Capability C145274: (CRR) Customer Level Risk Scoring (2025)"
"F717259","CRR - Time Based Rule Triggers in E1 (Analysis, Build)","Backlog","L","AXP PI 26.1","GCIP Solution - Aligned","","Build","26.1 Committed","BRD 12.16","Sub Journey","ST16_CRR Rule Execution-01","None","0","AXP PI 26.1","01/20/2026 12:00 AM MST","AXP PI 26.1","03/30/2026 11:59 PM MST","","03/30/2026 12:00 AM MST","","","","","63.0","CRR Rescoring Capabilities","As a Compliance Analyst/Manager, I want to implement time-based rule triggers so that specific risk elements and their associated rules can be evaluated on a monthly basis instead of daily, optimizing system performance and aligning with business relevance. Rules such as length of customer relationship do not require daily re-evaluation since their values change gradually over time. A configuration flag set at the risk element level through the CRR modal will designate whether all rules within the element should be considered time-based. The system will fetch this configuration at runtime and trigger rescoring only if the last scoring event occurred more than 30 days ago.  Business BenefitsReduces unnecessary compute load by avoiding daily re-evaluation of stable metricsImproves system scalability and performance during CRR batch runsEnables business-driven configurability for batch timing of risk scoringEnsures technical design supports future extensibility without redevelopmentUser ScenariosDuring a CRR batch run, the system checks if a risk element is time-based and evaluates only if 30 days have passed since last scoringSystem skips time-based rules that are not yet due, ensuring scoring logic is optimized for batch performanceA Compliance Analyst/Manager requests a change to the evaluation frequency from 30 to 45 days, and engineering updates the configuration without rewriting the feature  Non-Functional RequirementsScoring execution logic must retrieve time-based flags dynamicallyRescoring logic must track last evaluation timestamps accuratelyParameter for time-based evaluation frequency must be externalized and easily changeableAvailability target of 99.9 percent for batch execution processLogging and audit trail must capture rule execution decision logic clearly DependenciesPredecessor:  Discovery and Analysis complete in F717256CRR framework modal for rule element flaggingBatch scoring engine for time-based logic injectionScheduling service to support monthly evaluation cycleCRR configuration repository for storing and retrieving evaluation intervals Out of ScopeUI redesign for element-level time-based configurationSupport for mixed time-based and daily rules within a single risk elementReal-time rule re-evaluation outside of batch process RisksIncorrect flagging of time-based elements may lead to delayed risk updatesPoor modularization may result in future change requests requiring reworkLack of alignment between UI configuration and backend enforcement may cause inconsistency","Scope for a new customer/account is added, then the time based rules won't have a score until the time based rules are triggered.  Acceptance CriteriaGiven a risk elementWhen all rules within it are flagged as time-basedThen the system must evaluate those rules only once every 30 days Given a risk elementWhen it is not flagged as time-basedThen the system must continue evaluating its rules on a daily basis Given a CRR batch runWhen a time-based rule is eligible for executionThen the system must execute and log the updated score Given a configuration change from 30 days to another valueWhen implementedThen the system must apply the new threshold without code refactoring","Capability C140525: (CRR) CRR Framework & Configurability (2025)"
"F717260","CRR - Rule Change Based Rule Triggers in E1 (Analysis, Build)","Backlog","L","AXP PI 26.1","GCIP Solution - Aligned","","Build","26.1 Committed","BRD 12.16.1","Sub Journey","ST16_CRR Rule Execution-02","None","0","AXP PI 26.1","01/20/2026 12:00 AM MST","AXP PI 26.1","03/30/2026 11:59 PM MST","","03/30/2026 12:00 AM MST","","","","","114.0","CRR Rescoring Capabilities","As a Compliance Analyst / Manager, I want the CRR platform to support triggering rescoring whenever a rule is changed within the CRR framework so that risk scoring remains aligned with the most current compliance logic and customer risk ratings reflect updated rule definitions. When a user modifies a rule through the CRR risk framework interface, a trigger must be generated by the UI and sent to the risk scoring system. The scoring system must consume this event, identify the rule delta, and then evaluate whether rescoring is necessary. If required, rescoring must be performed using the updated rule set, and the newly calculated customer risk ratings must be returned. This feature is intended to drive discovery and analysis work, identifying all scenarios and edge cases in which rescoring must be triggered based on rule-level changes. Business BenefitsEnsures customer risk scores are dynamically updated in response to regulatory or business rule changesReduces manual coordination between compliance and engineering by automating scoring triggersStrengthens accuracy of risk decisions by capturing scoring changes in near real-timeEstablishes baseline for robust event-driven architecture to support CRR evolution User ScenariosA Compliance Analyst modifies a data point mapping within an existing rule; the system sends a trigger to the scoring engine to initiate rescoringA Compliance Analyst / Manager updates a rule’s multiplier value; the system identifies the change and initiates rescoring for affected customersThe tech team performs an analysis of rule modifications including multiplier adjustments, data point reclassification, rule activation/deactivation, or changes to evaluation conditionsSystem processes a rule update event, computes deltas, and performs rescoring only for customers impacted by the specific changeDiscovery identifies edge cases such as shared rules across risk elements, conflicting rule reuse, or rules embedded in multiple market-specific contexts  Non-Functional RequirementsDelta detection logic must operate with low latency and high reliabilityRule change event schema must be standardized and version-controlledAudit trail must capture who made the rule change, what was changed, and the resulting scoring impactDiscovery outputs must be presented in a format usable for future automation and test coverageAvailability target of 99.9 percent for scoring service and event listeners DependenciesCRR framework UI for rule editing and submissionEvent sourcing system to send and receive rule change triggersScoring engine capable of evaluating rule-level deltasCustomer data repository for scoring contextMonitoring and alerting tools for trigger processing Out of ScopeScoring for data changes not related to rule logicSandbox-based scoring simulationsFull UI redesign for rule submission flow RisksUnmapped rule scenarios may result in incomplete rescoring coverageMisidentified deltas could cause over- or under-scoringEvent delivery failures may lead to stale customer ratingsEdge cases involving rule inheritance or composite logic may introduce complexity","Acceptance CriteriaGiven a rule change is made through the CRR frameworkWhen the update is submittedThen the UI must send a trigger event to the scoring engine with change metadata Given the scoring engine receives the triggerWhen the rule change is processedThen it must analyze and detect the delta introduced by the rule update Given customer data relevant to the changed ruleWhen the delta indicates a scoring impactThen the engine must perform rescoring for those affected customers Given rule changes across different types and configurationsWhen analyzing the full CRR rule catalogThen the team must document all triggering scenarios and edge cases","Capability C140525: (CRR) CRR Framework & Configurability (2025)"
"F717264","CRR - Event Based Rule Triggers in E1 (Analysis, Build)","Backlog","L","AXP PI 26.1","GCIP Solution - Aligned","","Build","26.1 Committed","BRD 12.16","Sub Journey","ST16_CRR Rule Execution-03","None","0","AXP PI 26.1","01/20/2026 12:00 AM MST","AXP PI 26.1","03/30/2026 11:59 PM MST","","03/30/2026 12:00 AM MST","","","","","51.0","CRR Rescoring Capabilities","As a Compliance Analyst / Manager, I want to support event-based rule triggers for CRR so that any changes in customer demographic or data attributes, such as geography updates, automatically initiate a rescoring process to ensure that customer risk ratings remain accurate and up to date. In this model, the DAM team detects the change and sends a trigger indicating a data-level delta. Once the trigger is sent, an event is generated through the event sourcing mechanism. The CRR platform must be able to consume this event, extract the relevant delta information, and perform rescoring for all impacted customers based on current CRR rules. This feature is focused on discovery and analysis to identify all use cases, triggering conditions, and edge cases where event-based changes must lead to rescoring. Business BenefitsEnsures real-time responsiveness to customer profile changes impacting riskAutomates rescoring to reduce operational lag and compliance gapsCreates a decoupled, event-driven pipeline for CRR responsivenessSupports completeness of audit and traceability in risk logic updates User ScenariosA customer’s geography is updated by an external system; DAM detects the change and sends a trigger to the CRR systemThe event sourcing layer receives the trigger and generates an event with the relevant customer ID and delta fieldsThe CRR platform consumes the event, identifies impacted rules, and initiates rescoring based on new customer dataDiscovery team identifies all event types (e.g., industry, transaction profile, geography) that should result in event-based scoringCRR logs maintain traceability of what event was received, how it was processed, and what score changes resulted Acceptance CriteriaGiven a customer demographic change is detectedWhen DAM sends a trigger with the data deltaThen the event sourcing mechanism must generate a corresponding scoring event Given the scoring event is publishedWhen the CRR platform receives itThen it must process the event and rescore the customer using updated data Given multiple customer records are impacted in a single batchWhen DAM provides a bulk deltaThen CRR must handle and process all events accurately and at scale Given potential changes to data types or trigger definitionsWhen analyzing edge casesThen all supported event-based triggers must be cataloged with downstream impact definitions Non-Functional RequirementsEvent consumer must support high-throughput intake from DAM sourcesLatency between trigger and CRR score update must remain within target SLAAll events must include customer ID, modified attributes, and timestampSystem must maintain idempotency and reprocessing safeguards for duplicate eventsAudit logs must retain event payloads and processing results for compliance reporting DependenciesDAM team for initiating triggers and delta detectionEvent sourcing framework for publishing standardized scoring eventsCRR scoring engine for consuming and acting on incoming eventsCustomer master data platform for enriching event payloads during scoringMonitoring systems for success/failure handling and reprocessing pipelines Out of ScopeManual reconfiguration of rule logicUI-driven rule scoring decisionsCross-market event propagation and reconciliation RisksFailure in event publishing or consumption may lead to outdated scoresIncomplete or malformed deltas may result in scoring inaccuraciesHigh-volume events may cause performance degradation if not optimizedMapping between data-level changes and impacted rules must be precise to avoid over-triggering","Validating DAM Event Ingestion and ProcessingGiven that DAM sends an event for a variable change,When the event reaches the CRR system,Then the system should validate the event payload before triggering rescoring.Given that the CRR system processes an event,When rescoring is triggered,Then the updated risk score should be stored in the CRR system.","Capability C140525: (CRR) CRR Framework & Configurability (2025)"
"F776672","CRR - Data Requests from FC-COE Team - in E1 & E2 (Analysis)","Backlog","XL","AXP PI 26.1","GCIP Solution - Aligned","","Build","26.1 Committed","BRD 12.4.2","Sub Journey","ST16_CRR Rule Execution-05","None","0","AXP PI 26.1","01/20/2026 12:00 AM MST","AXP PI 26.1","03/30/2026 11:59 PM MST","","03/30/2026 12:00 AM MST","","","","","93.0","CRR Obligor Hierarchy scoring​","As a compliance analyst/manager,I would like to perform discovery and analysis for all key CRR inputs, configurations, computed points, and linkages to be logged in the LUMI warehouseSo that downstream analytics teams, including FC-COE and Risk teams, can perform historical analysis, transparency checks, auditing, and model monitoring using consistent and centralized CRR datasets.This feature will enable the ingestion, storage, and historical logging of all relevant CRR scoring inputs and intermediate outputs into the LUMI warehouse. Specifically:A. DAM Data AvailabilityDAM currently builds 34 variables for ICS/SBS/Corporate individuals.17 variables already available in production as part of MVP1.Remaining 17 variables are in testing and will become available shortly.The feature ensures all 34 DAM variables (raw & derived) required for CRR models are logged consistently.B. CRR Scores & HistoryCRR scores and scoring history are expected to be logged into LUMI warehouse per CRR POA requirements.This feature expands the scope to include all inputs used in the CRR scoring process, not just final scores.C. Additional Data Requested by FC-COEThe following elements are required to be logged for analytical and audit purposes:Raw Variables used in CRR CalculationsVariables from DAM after transformations/derivations.Capture both raw and post-transformation/derived values.CRR Configuration MetadataRuleset, thresholds, parameters, point assignment logic, risk element definitions, and scoring configurations.This includes all inputs used to determine element-wise points, total scores, and overall risk categorization.Output must be versioned and captured historically in LUMI.Linkages Used in Score CalculationAll account-to-customer, customer-to-hierarchy, and relationship linkages used during scoring.Useful for identifying:All accounts contributing to a customer risk score.All entities contributing to hierarchy-level scoring.Risk Element-Wise Points per Account & CustomerSimilar to cornerstone tables:cadence_account_risk_reportcadence_customer_risk_reportFC-COE strongly prefers this data to be stored directly in LUMI, as multiple consumer teams use it.D. Historical & Latest DataFor all data mentioned above:Latest snapshot must be stored.Historical values must also be logged for:Trend analysisBack-testingAudit/reproducibilityCompliance & regulatory reporting4. Engineering Team GoalsIngest and store the full set of 34 DAM variables into LUMI with transformation logic applied, including both raw and derived values.Build a framework to capture CRR scoring configurations, including:RulesetsThresholdsPoint computation logicVersion historyImplement storage of account-to-customer and hierarchy linkages used during scoring.Generate and load CRR-level risk element-wise points for accounts and customers into LUMI.Ensure both current and historical data availability for all datasets.Produce data models, schemas, and documentation required for long-term maintenance, consumption, and governance.","Given DAM variables are available for CRRWhen the CRR scoring pipeline runsThen all raw and derived variables used in scoring must be logged in LUMI with both current and historical values. Given CRR scoring configuration changes or has new versionsWhen CRR scores are computedThen the exact configuration version used must be stored and queryable in LUMI. Given scores are calculated at account, customer, and hierarchy levelWhen linkages are applied to aggregate riskThen all linkages used must be logged for analytics and audit. Given element-wise risk points are produced during scoringWhen risk reports are generatedThen element-wise points must be available in LUMI, similar to cornerstone reporting. Given any CRR-related dataset is refreshedWhen new values (e.g., DAM variables, scores, configurations) are generatedThen both the latest snapshot and historical records must be retained.","Capability C145274: (CRR) Customer Level Risk Scoring (2025)"
"F817939","CRR - UI Enhancements & modifications and miscellaneous work in E2","Backlog","XL","AXP PI 26.1","GCIP Solution - NA","","E2E SIT","26.1 Committed","BRD 12.9","Sub Journey","ST16_CRR Rule Configuration-07","None","0","AXP PI 26.1","01/20/2026 12:00 AM MST","AXP PI 26.1","03/30/2026 11:59 PM MST","","03/30/2026 12:00 AM MST","","","","","93.0","CRR UI Enhancements","As a Compliance Analyst/Manager, I want CRR listing pages and asset management screens to behave consistently and intuitively, so that compliance data can be reviewed, interpreted, and acted upon efficiently without confusion, redundant information, or usability gaps. This is also a placeholder feature for miscellaneous development effort and defect fixes needed to be addressed during development.VALUE/BENEFIT STATEMENT:This feature focuses on improving user confidence and operational efficiency by standardizing list ordering behavior, simplifying user interfaces and improving asset clarity and status representation across the CRR applicationDEPENDENCIES:- NoneISSUES/RISKS:- NoneOUT OF SCOPE:- None","CRR list sorting by date createdGiven a Compliance Analyst accesses any CRR list (Risk Category, Risk Element, Ruleset, or Asset)When the list is displayedThen the list is sorted by date created in descending order with newly created items appearing at the top and older items pushed toward the endListing page scrolling behaviorGiven a Compliance Analyst views any listing pageWhen scrolling through the listThen scrolling occurs within the table while headers remain fixed and the top section of the page does not moveAsset Manager status column updates and ordering behaviorGiven a Compliance Manager views the Asset Manager pageWhen assets are displayed, created, or modifiedThen the Status column is shown instead of Last Updated, newly created assets appear at the top based on created date, and newly created assets appear on top of the listMiscellaneous Development & StabilityGiven any CRR page included in this feature is accessedWhen edge cases, partial data, or recoverable errors occurThen the application handles them gracefully without UI breakage, inconsistent ordering, or misleading data display","Capability C145274: (CRR) Customer Level Risk Scoring (2025)"
"F817940","CRR - Enable Asset manager functionality E2E ( Analysis & Build) E2","Backlog","XL","AXP PI 26.1","GCIP Solution - Aligned","","E2E SIT","26.1 Committed","BRD 12.4.1","Sub Journey","ST16_CRR Rule Configuration-08","None","0","AXP PI 26.1","01/20/2026 12:00 AM MST","AXP PI 26.1","03/30/2026 11:59 PM MST","03/16/2026 12:00 AM MST","03/30/2026 12:00 AM MST","","","","","93.0","CRR Asset Manager Capability","Feature DescriptionAs a Compliance Analyst / Compliance Manager,I want assets to behave as versioned, governed configuration artifacts that can be reused safely across markets,so that changes to asset values do not unintentionally affect other markets or prior risk decisions.I want:All assets to be centrally visibleEditing to be allowed only when it is safeAutomatic versioning on every changeClear lifecycle states for assetsCopy-on-write behavior when assets are sharedFull traceability between asset versions, sandbox versions, and production CRRBenefit to BusinessPrevents unintended cross-market risk impactEnables safe asset reuse at enterprise scaleImproves audit traceability and lineageReduces rework and configuration errorsSupports regulator-grade explainabilityUser Scenarios CoveredCreate new assets in DraftEdit assets safely inside sandboxPrevent editing of shared assetsCreate asset copies when neededVersion assets on every changeTrack asset usage across sandboxes and marketsPromote asset versions with CRRArchive historical asset versionsDependenciesNone (Integration with DAM is currently out of scope but part of a future feature)RisksAsset Reference Data Master List (Currently a Table in CRR BigQuery Space, and uses Standardised Values as per POD). Upon Integration with DAM data, new DAM tables would be required.","Acceptance CriteriaAC1 – Draft Asset CreationGiven I create a new assetWhen the asset is savedThen its status is DraftAnd it can be edited or deletedAC2 – Central VisibilityGiven I am in any sandboxWhen I view the Assets configurationThen all assets in the system are visible for selectionAC3 – Editable Asset ConditionsGiven an asset is in DraftOr used only within the current editable sandboxWhen I attempt to edit itThen editing is allowedAC4 – Cross-Market ProtectionGiven an asset is used in another market, enterprise, or productionWhen I attempt to edit itThen editing is blockedAnd I am prompted to create a copyAC5 – Asset Copy CreationGiven I choose to create a copyWhen the copy is createdThen a new Draft asset is createdAnd the original asset remains unchangedAC6 – Asset VersioningGiven I edit an asset within a sandboxWhen I save changesThen a new immutable asset version is createdAnd previous versions are preservedAC7 – Sandbox State AlignmentGiven a sandbox is non-editableWhen I view assets within that sandboxThen all asset edits are disabledAC8 – Lifecycle State ManagementGiven an asset version is used in an active sandboxThen its status is SandboxGiven an asset version is used in the latest production CRRThen its status is ProductionGiven an asset version is no longer referenced by productionThen its status is ArchivedAC9 – TraceabilityGiven a sandbox version existsWhen I inspect its metadataThen the exact asset versions used are recorded and retrievable","Capability C145274: (CRR) Customer Level Risk Scoring (2025)"
"F817944","CRR - Unified Sandbox Configuration Experience (UI & Journey Revamp)","Backlog","XL","AXP PI 26.1","GCIP Solution - Aligned","","Build","26.1 Committed","BRD 12.10","Sub Journey","ST16_CRR Rule Configuration-09","None","0","AXP PI 26.1","01/20/2026 12:00 AM MST","AXP PI 26.1","03/30/2026 11:59 PM MST","03/16/2026 12:00 AM MST","03/30/2026 12:00 AM MST","","","","","93.0","CRR Model Governance","Feature DescriptionAs a Compliance Analyst / Compliance Manager,I want to configure, review, simulate, and promote CRR Rules, Assets, and Fundamental Assessment together within a single Sandbox experience,so that all risk logic changes are made in one place, tested together, reviewed together, and promoted as one atomic risk decision.I want:A single sandbox entry point for all configuration changesThe ability to switch between Rules, Assets, and Fundamental Assessment without leaving the sandboxConfidence that what I simulate is exactly what will go to productionAssurance that no configuration can be changed outside a sandboxFull visibility into all changes (rules, assets, assessments) before simulation and promotionDesign Link - https://www.figma.com/design/MLEFTR9mWQP86n5FmYX5tN/Sandbox-and-Simulation?node-id=8-4306&t=mW3NHXazcinGJRib-0 Benefit to BusinessEliminates fragmented configuration paths that create partial, untested risk statesEnforces atomic risk decisions, improving regulatory defensibilityReduces operational errors caused by disconnected editsImproves explainability during audits by preserving change-set integrityAligns CRR operations with modern change-management best practicesUser Scenarios CoveredConfigure rules, assets, and fundamental assessment within the same sandboxSwitch configuration context inside sandbox without losing statePrevent editing outside sandboxReview all changes together before simulationSimulate combined impact of all configuration changesPromote rules + assets + fundamental assessment togetherEnsure production reflects exactly what was simulated and approvedOut of ScopeIntegration with Authorization for separate views for MCO vs CRR Business UsersDependenciesNoneRisksPerformance impact of unified simulationBackward compatibility with existing sandboxes (Future feature)","Acceptance CriteriaAC1 – Single Configuration Entry PointGiven I am a Compliance AnalystWhen I attempt to edit Rules, Assets, or Fundamental AssessmentThen editing is only possible within an active SandboxAnd standalone Asset Manager and Fundamental Assessment screens are read-onlyAC2 – Sandbox Configuration SwitcherGiven I am inside an editable SandboxWhen I select Rules, Assets, or Fundamental Assessment from the sandbox configuration selectorThen the corresponding configuration view is displayedAnd I remain in the same sandbox and version contextAC3 – Sandbox State EnforcementGiven a sandbox is in a non-editable stateWhen I view Rules, Assets, or Fundamental AssessmentThen all configuration views are read-onlyAnd no edits are allowedAC4 – Unified Change DetectionGiven I have made changes to Rules, Assets, and/or Fundamental AssessmentWhen I initiate Sandbox SimulationThen the system shows a consolidated list of changesAnd changes are grouped by configuration typeAnd all changes are scoped to the sandbox versionAC5 – Simulation IntegrityGiven Sandbox Simulation is runWhen simulation executesThen it uses the exact versions of Rules, Assets, and Fundamental Assessment configured in the sandboxAnd no external or production configuration is appliedAC6 – Atomic PromotionGiven Sandbox Simulation is completed and approvedWhen I promote the sandbox to productionThen Rules, Assets, and Fundamental Assessment are promoted togetherAnd partial promotion is not allowedAC7 – Production FidelityGiven a sandbox has been promotedWhen I view CRR production configurationThen production reflects exactly the configuration set approved in the sandboxAnd no additional changes are present","Capability C145274: (CRR) Customer Level Risk Scoring (2025)"
"F823017","CRR -Re-procure E1 and E2 Cloud SQL","Backlog","M","AXP PI 26.1","GCIP Solution - Aligned","","Build","26.1 Committed","BRD 12.8.1;12.8.7;12.8.15","Sub Journey","ST16_CRR Rule Configuration-10","None","0","AXP PI 26.1","01/20/2026 12:00 AM MST","AXP PI 26.1","03/02/2026 11:59 PM MST","","03/30/2026 12:00 AM MST","","","","","93.0","CRR Infrastructure readiness","Feature DescriptionAs a compliance analyst or manager, I would like to re-procure E1 and E2 Cloud SQL instances, take the required accesses, migrate the data from old instances to new instances, update our configurations to point to new instances and do a sanity check. Additionally, discussions required to get alignment on memorystore, for which the responsible team has said that they are having internal discussions and would come back to us in January. Reason: Cloud SQL - Lately, while procuring the E3 Cloud SQL instances, we were highlighted that the E1 and E2 instances are not procured through the right channel and because of which Lumi team would not be able to maintain and support those instances. However, there was no mention or restriction on procuring the cloud SQL instances through the public cloud portal (through which we procured). So, for E3 procurement we followed the new BigData - Cloud Migration (BDCM) Jira process. Public cloud engineering team has accepted that there is glitch in their process that it is allowing procuring the cloud services in the lumi project space which it should not. Lumi team has shared the guidelines now that for any procurement in lumi project should come through the BigData - Cloud Migration (BDCM) Jira, otherwise maintenance & support would be out of Lumi team’s scope. We want to keep the infra and its maintenance process same in all the three environments (E1, E2 and E3). Hence, we would need to procure the E1 and E2 instances again via BDCM Jira now. MemoryStore - While E3 procurement, Lumi team called out that memorystore is not an approved solution in Lumi. However, our architecture diagram utilizing the memorystore as cloud service was approved by Lumi team and it was also provisioned in E1 and E2 environment and no callout was made at that time. We have had a few discussions, but the final alignment is yet to be made. ","Acceptance CriteriaE1 and E2  infrastructure readiness as per new LUMI guidelines. ","Capability C145274: (CRR) Customer Level Risk Scoring (2025)"
